Values,Timestamp
100,26-06-2024 06:17:55
100,26-06-2024 06:18:11
100,26-06-2024 06:18:28
100,26-06-2024 06:18:45
100,26-06-2024 06:19:00
100,26-06-2024 06:19:16
100,26-06-2024 09:29:05
100,26-06-2024 09:29:21
100,26-06-2024 09:29:37
100,26-06-2024 09:29:53
100,26-06-2024 09:29:56
100,26-06-2024 09:30:11
100,26-06-2024 09:30:27
100,26-06-2024 09:30:45
100,26-06-2024 09:31:01
100,26-06-2024 09:31:17
100,26-06-2024 09:31:34
100,26-06-2024 09:31:50
100,26-06-2024 09:32:06
100,26-06-2024 09:32:22
100,26-06-2024 09:32:38
100,26-06-2024 09:32:39
100,26-06-2024 09:32:56
100,26-06-2024 09:33:13
100,26-06-2024 09:33:31
100,26-06-2024 09:33:46
100,26-06-2024 09:34:01
100,26-06-2024 09:34:19
100,26-06-2024 09:34:35
100,26-06-2024 09:34:52
100,26-06-2024 09:35:07
100,26-06-2024 09:35:23
100,26-06-2024 09:35:25
100,26-06-2024 09:35:41
100,26-06-2024 09:35:56
100,26-06-2024 09:36:14
99,26-06-2024 09:36:30
99,26-06-2024 09:36:47
99,26-06-2024 09:37:04
99,26-06-2024 09:37:20
99,26-06-2024 09:37:35
99,26-06-2024 09:37:52
99,26-06-2024 09:38:08
99,26-06-2024 09:38:24
99,26-06-2024 09:38:26
99,26-06-2024 09:38:43
99,26-06-2024 09:38:58
99,26-06-2024 09:39:15
99,26-06-2024 09:39:32
99,26-06-2024 09:39:48
99,26-06-2024 09:40:06
99,26-06-2024 09:40:21
99,26-06-2024 09:40:36
99,26-06-2024 09:40:53
99,26-06-2024 09:41:09
99,26-06-2024 09:41:11
99,26-06-2024 09:41:27
99,26-06-2024 09:41:44
99,26-06-2024 09:42:01
99,26-06-2024 09:42:16
98,26-06-2024 09:42:33
98,26-06-2024 09:42:50
98,26-06-2024 09:43:06
98,26-06-2024 09:43:22
98,26-06-2024 09:43:38
98,26-06-2024 09:43:39
98,26-06-2024 09:43:56
98,26-06-2024 09:44:11
98,26-06-2024 09:44:29
98,26-06-2024 09:44:45
98,26-06-2024 09:45:01
98,26-06-2024 09:45:19
98,26-06-2024 09:45:34
98,26-06-2024 09:45:51
98,26-06-2024 09:46:07
98,26-06-2024 09:46:22
98,26-06-2024 09:46:39
98,26-06-2024 09:46:40
98,26-06-2024 09:46:58
98,26-06-2024 09:47:14
98,26-06-2024 09:47:29
98,26-06-2024 09:47:46
98,26-06-2024 09:48:03
98,26-06-2024 09:48:19
98,26-06-2024 09:48:37
98,26-06-2024 09:48:51
98,26-06-2024 09:49:07
98,26-06-2024 09:49:24
98,26-06-2024 09:49:25
98,26-06-2024 09:49:42
98,26-06-2024 09:49:58
98,26-06-2024 09:50:16
98,26-06-2024 09:50:31
98,26-06-2024 09:50:47
98,26-06-2024 09:51:04
98,26-06-2024 09:51:21
98,26-06-2024 09:51:37
98,26-06-2024 09:51:52
98,26-06-2024 09:52:09
98,26-06-2024 09:52:10
98,26-06-2024 09:52:28
98,26-06-2024 09:52:43
98,26-06-2024 09:52:59
98,26-06-2024 09:53:16
98,26-06-2024 09:53:33
98,26-06-2024 09:53:49
98,26-06-2024 09:54:07
98,26-06-2024 09:54:21
98,26-06-2024 09:54:37
98,26-06-2024 09:54:54
98,26-06-2024 09:54:55
98,26-06-2024 09:55:11
98,26-06-2024 09:55:29
98,26-06-2024 09:55:44
98,26-06-2024 09:56:00
98,26-06-2024 09:56:18
98,26-06-2024 09:56:34
98,26-06-2024 09:56:50
98,26-06-2024 09:57:07
98,26-06-2024 09:57:22
97,26-06-2024 09:57:38
98,26-06-2024 09:57:40
98,26-06-2024 09:57:56
98,26-06-2024 09:58:12
98,26-06-2024 09:58:30
97,26-06-2024 09:58:47
97,26-06-2024 09:59:02
97,26-06-2024 09:59:18
97,26-06-2024 09:59:35
97,26-06-2024 09:59:52
97,26-06-2024 10:00:07
97,26-06-2024 10:00:23
97,26-06-2024 10:00:26
97,26-06-2024 10:00:41
97,26-06-2024 10:00:58
97,26-06-2024 10:01:14
97,26-06-2024 10:01:31
97,26-06-2024 10:01:47
97,26-06-2024 10:02:05
97,26-06-2024 10:02:20
97,26-06-2024 10:02:36
97,26-06-2024 10:02:52
97,26-06-2024 10:03:08
97,26-06-2024 10:03:10
97,26-06-2024 10:03:26
97,26-06-2024 10:03:44
97,26-06-2024 10:03:59
97,26-06-2024 10:04:14
97,26-06-2024 10:04:32
97,26-06-2024 10:04:48
97,26-06-2024 10:05:05
97,26-06-2024 10:05:21
97,26-06-2024 10:05:37
97,26-06-2024 10:05:53
97,26-06-2024 10:05:54
97,26-06-2024 10:06:11
97,26-06-2024 10:06:28
97,26-06-2024 10:06:43
97,26-06-2024 10:07:00
97,26-06-2024 10:07:17
97,26-06-2024 10:07:34
97,26-06-2024 10:07:49
97,26-06-2024 10:08:07
97,26-06-2024 10:08:22
97,26-06-2024 10:08:38
97,26-06-2024 10:08:54
97,26-06-2024 10:08:57
97,26-06-2024 10:09:12
97,26-06-2024 10:09:28
97,26-06-2024 10:09:45
97,26-06-2024 10:10:02
97,26-06-2024 10:10:18
97,26-06-2024 10:10:35
97,26-06-2024 10:10:52
96,26-06-2024 10:11:06
96,26-06-2024 10:11:23
96,26-06-2024 10:11:24
96,26-06-2024 10:11:40
96,26-06-2024 10:11:57
96,26-06-2024 10:12:14
96,26-06-2024 10:12:30
96,26-06-2024 10:12:48
96,26-06-2024 10:13:02
96,26-06-2024 10:13:20
96,26-06-2024 10:13:36
96,26-06-2024 10:13:52
96,26-06-2024 10:14:08
96,26-06-2024 10:14:10
96,26-06-2024 10:14:26
96,26-06-2024 10:14:42
96,26-06-2024 10:14:58
96,26-06-2024 10:15:15
96,26-06-2024 10:15:32
96,26-06-2024 10:15:49
96,26-06-2024 10:16:05
96,26-06-2024 10:16:20
96,26-06-2024 10:16:37
96,26-06-2024 10:16:53
96,26-06-2024 10:17:09
96,26-06-2024 10:17:10
96,26-06-2024 10:17:27
96,26-06-2024 10:17:45
96,26-06-2024 10:17:59
96,26-06-2024 10:18:16
96,26-06-2024 10:18:33
96,26-06-2024 10:18:49
96,26-06-2024 10:19:05
96,26-06-2024 10:19:22
96,26-06-2024 10:19:38
96,26-06-2024 10:19:54
96,26-06-2024 10:20:10
96,26-06-2024 10:20:13
96,26-06-2024 10:20:28
96,26-06-2024 10:20:44
96,26-06-2024 10:21:01
96,26-06-2024 10:21:18
96,26-06-2024 10:21:34
96,26-06-2024 10:21:51
96,26-06-2024 10:22:08
96,26-06-2024 10:22:22
96,26-06-2024 10:22:39
96,26-06-2024 10:22:40
96,26-06-2024 10:22:56
96,26-06-2024 10:23:13
96,26-06-2024 10:23:30
96,26-06-2024 10:23:47
96,26-06-2024 10:24:02
96,26-06-2024 10:24:19
96,26-06-2024 10:24:36
96,26-06-2024 10:24:52
96,26-06-2024 10:25:08
96,26-06-2024 10:25:24
96,26-06-2024 10:25:26
96,26-06-2024 10:25:42
96,26-06-2024 10:25:57
96,26-06-2024 10:26:15
96,26-06-2024 10:26:31
96,26-06-2024 10:26:48
96,26-06-2024 10:27:05
96,26-06-2024 10:27:19
96,26-06-2024 10:27:37
96,26-06-2024 10:27:53
96,26-06-2024 10:28:09
96,26-06-2024 10:28:25
96,26-06-2024 10:28:26
96,26-06-2024 10:29:16
96,26-06-2024 10:29:32
96,26-06-2024 10:29:49
96,26-06-2024 10:30:05
96,26-06-2024 10:30:22
96,26-06-2024 10:30:38
96,26-06-2024 10:30:53
96,26-06-2024 10:31:11
96,26-06-2024 10:31:27
96,26-06-2024 10:31:44
96,26-06-2024 10:32:01
96,26-06-2024 10:32:18
96,26-06-2024 10:32:35
96,26-06-2024 10:32:50
96,26-06-2024 10:33:06
96,26-06-2024 10:33:23
95,26-06-2024 10:33:38
95,26-06-2024 10:33:55
95,26-06-2024 10:33:57
95,26-06-2024 10:34:12
95,26-06-2024 10:34:29
95,26-06-2024 10:34:47
95,26-06-2024 10:35:02
95,26-06-2024 10:35:18
95,26-06-2024 10:35:35
95,26-06-2024 10:35:52
95,26-06-2024 10:36:08
95,26-06-2024 10:36:23
95,26-06-2024 10:36:40
95,26-06-2024 10:36:42
95,26-06-2024 10:36:58
95,26-06-2024 10:37:14
95,26-06-2024 10:37:30
95,26-06-2024 10:37:47
95,26-06-2024 10:38:21
95,26-06-2024 10:38:36
95,26-06-2024 10:38:53
95,26-06-2024 10:39:08
95,26-06-2024 10:39:25
95,26-06-2024 10:39:26
95,26-06-2024 10:39:43
95,26-06-2024 10:40:01
95,26-06-2024 10:40:15
95,26-06-2024 10:40:32
95,26-06-2024 10:40:49
95,26-06-2024 10:41:05
95,26-06-2024 10:41:22
94,26-06-2024 10:41:38
94,26-06-2024 10:41:53
94,26-06-2024 10:41:55
94,26-06-2024 10:42:10
94,26-06-2024 10:42:29
94,26-06-2024 10:42:44
